Team Name,Opposition Name,Tournament,Date,Time,Venue,Umpire,Player of the Match,Result,Result Info,Match ID,Opposition Runs,Opposition Wickets Fallen,Opposition Overs,Team Runs,Team Wickets Fallen,Team Overs,Season,Bowl First,difference,POTM Team
Two Bats or Not To Bat,Fazal CC,London Friendlies 2025,11/11/2018,14:00,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Niranjan Shimoga,Tie,The game was a tie,M093,150,7,20,150,7,20,2018,TRUE,0,Two Bats or Not To Bat
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,12/05/2019,17:00,Barnes Oval - Brook (SW13 9SA),Ariful Haque,J. D. Miller,Loss,Surrey Tropics Won by 60 runs,M094,220,2,20,160,5,20,2019,TRUE,60,Surrey Tropics
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 2,19/05/2019,14:45,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Robbie Ransom,Loss,The Entertainers Won by 11 runs,M095,174,5,20,163,6,20,2019,TRUE,11,The Entertainers
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,02/06/2019,13:40,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Freddie Clark,Loss,The Golden Ducks Won by 110 runs,M096,205,5,20,95,8,15,2019,TRUE,110,The Golden Ducks
Two Bats or Not To Bat,Gotham City Goats,SW London Sunday Division 2,09/06/2019,17:00,Clapham Common Oval,Shabbir Ahmed,James Hacking,Loss,Gotham City Goats Won by 85 runs,M097,228,6,20,143,7,20,2019,TRUE,85,Gotham City Goats
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,16/06/2019,9:00,Clapham Common Oval,Shabbir Ahmed,Brian Dlima,Loss,The Diamond Ducks Won by 46 runs,M098,174,8,20,128,8,20,2019,TRUE,46,The Diamond Ducks
Two Bats or Not To Bat,Sandpaper Supply Co,SW London Sunday Division 2,23/06/2019,14:30,Clapham Common Oval,Shabbir Ahmed,Blake Jesson,Loss,Sandpaper Supply Co Won by 164 runs,M099,215,6,20,51,7,7.1,2019,TRUE,164,Sandpaper Supply Co
Two Bats or Not To Bat,The Elite Development Squad,SW London Sunday Division 2,07/07/2019,17:00,Clapham Common Oval,Shabbir Ahmed,Andy Taylor,Loss,The Elite Development Squad Won by 127 runs,M100,235,4,20,108,7,20,2019,TRUE,127,The Elite Development Squad
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 2,28/07/2019,9:00,Clapham Common Oval,Shabbir Ahmed,Kawalnain Singh Arora,Loss,The Diamond Ducks Won by 58 runs,M101,181,6,20,123,3,20,2019,TRUE,58,The Diamond Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 2,28/07/2019,11:15,Clapham Common Oval,Shabbir Ahmed,Freddie Clark,Loss,The Golden Ducks Won by 74 runs,M102,212,2,20,138,5,20,2019,TRUE,74,The Golden Ducks
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,11/08/2019,11:15,Clapham Common Oval,Shabbir Ahmed,J. D. Miller,Loss,Surrey Tropics Won by 34 runs,M103,228,5,20,194,5,20,2019,TRUE,34,Surrey Tropics
Two Bats or Not To Bat,Gotham City Goats,SW London Sunday Division 2,11/08/2019,13:20,Clapham Common Oval,Shabbir Ahmed,Nabil Bentley,Loss,Gotham City Goats Won by 51 runs,M104,234,4,20,183,5,20,2019,TRUE,51,Gotham City Goats
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 2,25/08/2019,10:00,Clapham Common Oval,Ariful Haque,Ben Constant,Loss,Surrey Tropics Won by 26 runs,M105,219,5,20,193,5,20,2019,TRUE,26,Surrey Tropics
Two Bats or Not To Bat,Mpingwe CC,London Friendlies 2025,22/09/2019,14:00,Brockwell Park Oval (se24 9bj),Ferdous Zaman,Maruf Khan,Loss,Mpingwe CC Won by 84 runs,M106,232,3,20,148,5,20,2019,TRUE,84,Mpingwe CC
Two Bats or Not To Bat,Wandering Pelicans,London Friendlies 2025,29/09/2019,9:30,Brockwell Park Oval (se24 9bj),Ferdous Zaman,Tim Taylor,Loss,Wandering Pelicans Won by 51 runs,M107,146,8,19.2,95,8,12,2019,TRUE,51,Wandering Pelicans
Two Bats or Not To Bat,Fazal CC,London Friendlies 2025,20/10/2019,11:45,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Usama Sadiq (Ls),Loss,Fazal CC Won by 93 runs,M108,208,3,20,115,5,20,2019,TRUE,93,Fazal CC
Two Bats or Not To Bat,Hard Hitters,London Friendlies 2025,27/10/2019,9:30,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Ali Rizvi,Loss,Hard Hitters Won by 172 runs,M109,228,4,20,56,6,18.4,2019,TRUE,172,Hard Hitters
Two Bats or Not To Bat,Fireballs!,London Friendlies 2025,03/11/2019,9:30,Brockwell Park Oval (se24 9bj),Shabbir Ahmed,Anurag Anand,Loss,Fireballs! Won by 115 runs,M110,200,2,20,85,6,20,2019,TRUE,115,Fireballs!
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 3,12/07/2020,15:30,Barnes 1 (SW13 9SA),Ariful Haque,Mike Randall,Loss,The Diamond Ducks Won by 120 runs,M111,241,2,20,121,4,20,2020,TRUE,120,The Diamond Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 3,19/07/2020,14:40,Tooting Common Oval (SW17 8JU),S.M ARIF,Will Ross,Loss,The Golden Ducks Won by 58 runs,M112,250,2,20,192,6,20,2020,TRUE,58,The Golden Ducks
Two Bats or Not To Bat,LMS Panthers,SW London Sunday Division 3,26/07/2020,15:30,Clapham Common Oval,Shabbir Ahmed,Kev Roodt,Loss,LMS Panthers Won by 124 runs,M113,256,3,20,132,8,20,2020,TRUE,124,LMS Panthers
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 3,02/08/2020,13:30,Clapham Common Oval,Shabbir Ahmed,Andrew Cullen,Loss,Surrey Tropics Won by 70 runs,M114,227,3,20,157,0,20,2020,TRUE,70,Surrey Tropics
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 3,09/08/2020,9:00,Clapham Common Oval,Shabbir Ahmed,Vansh Malik,Loss,The Entertainers Won by 53 runs,M115,215,3,20,162,6,20,2020,TRUE,53,The Entertainers
Two Bats or Not To Bat,Cake Boys,SW London Sunday Division 3,16/08/2020,13:30,Clapham Common Oval,Shabbir Ahmed,James Daintith,Loss,Cake Boys Won by 90 runs,M116,250,3,20,160,3,20,2020,TRUE,90,Cake Boys
Two Bats or Not To Bat,Dibbly Dobblers,SW London Sunday Division 3,23/08/2020,9:00,Clapham Common Oval,Shabbir Ahmed,Daniel Stol,Loss,Dibbly Dobblers Won by 83 runs,M117,208,5,20,125,7,20,2020,TRUE,83,Dibbly Dobblers
Two Bats or Not To Bat,Bacardi Geezers,SW London Sunday Division 3,25/04/2021,11:15,Clapham Common Oval,Shakil Hossain,Edward Fane Trefusis,Loss,Bacardi Geezers Won by 192 runs,M118,317,4,20,125,8,15.2,2021,TRUE,192,Bacardi Geezers
Two Bats or Not To Bat,Royal ducks,SW London Sunday Division 3,09/05/2021,13:30,Clapham Common Oval,Shabbir Ahmed,Nicolas Watson,Loss,Royal ducks Won by 178 runs,M119,251,5,20,73,8,11.3,2021,TRUE,178,Royal ducks
Two Bats or Not To Bat,The Diamond Ducks,SW London Sunday Division 3,16/05/2021,15:40,Clapham Common Oval,Shabbir Ahmed,Ed Saunders,Loss,The Diamond Ducks Won by 64 runs,M120,201,8,20,137,7,17.2,2021,TRUE,64,The Diamond Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 3,23/05/2021,15:40,Clapham Common Oval,Shabbir Ahmed,Will Ross,Loss,The Golden Ducks Won by 112 runs,M121,157,6,20,45,8,9.2,2021,TRUE,112,The Golden Ducks
Two Bats or Not To Bat,The Entertainers,SW London Sunday Division 3,30/05/2021,11:00,Clapham Common Oval,Shabbir Ahmed,Vansh Malik,Loss,The Entertainers Won by 89 runs,M122,239,4,20,150,6,20,2021,TRUE,89,The Entertainers
Two Bats or Not To Bat,On The Pull,SW London Sunday Division 3,06/06/2021,17:50,Clapham Common Oval,Shabbir Ahmed,George Martin,Loss,On The Pull Won by 65 runs,M123,211,1,20,146,6,20,2021,TRUE,65,On The Pull
Two Bats or Not To Bat,Surrey Tropics,SW London Sunday Division 3,13/06/2021,17:45,Barnes Oval - Brook (SW13 9SA),Ariful Haque,Ben Constant,Loss,Surrey Tropics Won by 85 runs,M124,262,6,20,177,5,20,2021,TRUE,85,Surrey Tropics
Two Bats or Not To Bat,Larkhall Super Kings,SW London Sunday Division 4,04/07/2021,13:00,Barns (SW13 0DG),mahabub manik,Fergus Leathem,Win,Two Bats or Not To Bat Won by 3 wickets,M125,153,6,20,157,5,20,2021,TRUE,-4,Larkhall Super Kings
Two Bats or Not To Bat,Petty Theft,SW London Sunday Division 4,11/07/2021,12:20,Wandsworth Common 2 (Sw18 3RT),mahabub manik,Lewis Paterson,Loss,Petty Theft Won by 118 runs,M126,238,6,20,120,7,20,2021,TRUE,118,Petty Theft
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 4,18/07/2021,14:30,Tooting Common Oval (SW17 8JU),Shakil Hossain,SJ Carter,Loss,The Golden Ducks Won by 52 runs,M127,243,4,20,191,7,20,2021,TRUE,52,Two Bats or Not To Bat
Two Bats or Not To Bat,Partizan Tuscany,SW London Sunday Division 4,01/08/2021,13:10,Wandsworth Common 2 (Sw18 3RT),Rafay Ahmed,Jamie Hoddle,Loss,Partizan Tuscany Won by 142 runs,M128,248,4,20,106,7,18.1,2021,TRUE,142,Partizan Tuscany
Two Bats or Not To Bat,Partizan Tuscany,SW London Sunday Division 4,15/08/2021,0.409722222,Wandsworth Common 2 (Sw18 3RT),,,No Result,No Result,M129,,,,,,,2021,FALSE,0,-
Two Bats or Not To Bat,Larkhall Super Kings,SW London Sunday Division 4,15/08/2021,12:00,Wandsworth Common 2 (Sw18 3RT),Rafay Ahmed,Tom Wynter,Loss,Larkhall Super Kings Won by 5 wickets,M130,201,3,19,197,3,20,2021,FALSE,4,Larkhall Super Kings
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 4,15/08/2021,14:30,Wandsworth Common 2 (Sw18 3RT),Rafay Ahmed,Freddie Clark,Loss,The Golden Ducks Won by 61 runs,M131,174,5,20,113,8,18.3,2021,TRUE,61,The Golden Ducks
Two Bats or Not To Bat,The Golden Ducks,SW London Sunday Division 4,22/08/2021,12:00,Wandsworth Common 2 (Sw18 3RT),Sultan Bajwa,Sam Grew,Loss,The Golden Ducks Won by 79 runs,M132,204,0,20,125,4,19.4,2021,TRUE,79,The Golden Ducks
Two Bats or Not To Bat,Wristy Strokers.,SW London Sunday Division 4,24/04/2022,12:30,Wandsworth Common 2 (Sw18 3RT),Md Rajib Sheikh,Ben Dombrandt,Loss,Wristy Strokers. Won by 65 runs,M133,235,5,20,170,7,20,2022,TRUE,65,Wristy Strokers.
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,08/05/2022,12:20,Battersea Park Pavilion Pitch,Rafay Ahmed,Tom Graham,Loss,Pie Factory Won by 98 runs,M134,259,3,20,161,7,20,2022,TRUE,98,Pie Factory
Two Bats or Not To Bat,GHCC,SW London Sunday Division 4,29/05/2022,17:00,Wandsworth Common 2 (Sw18 3RT),SHAHZAD AHMAD MAHFOOZ,Will Ash,Loss,GHCC Won by 142 runs,M135,238,5,20,96,7,15.1,2022,TRUE,142,GHCC
Two Bats or Not To Bat,8 Wide Balls,SW London Sunday Division 4,19/06/2022,12:30,Wandsworth Common 2 (Sw18 3RT),SHAHZAD AHMAD MAHFOOZ,James Parker,Loss,8 Wide Balls Won by 116 runs,M136,319,2,20,203,7,20,2022,TRUE,116,8 Wide Balls
Two Bats or Not To Bat,Llama Aftermath,SW London Sunday Division 4,03/07/2022,15:15,Wandsworth Common 2 (Sw18 3RT),SHAHZAD AHMAD MAHFOOZ,Ali Bownas,Loss,Llama Aftermath Won by 155 runs,M137,285,2,20,130,8,20,2022,TRUE,155,Llama Aftermath
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,10/07/2022,17:30,Clapham Common Oval,Shabbir Ahmed,Rory Ward,Loss,Pie Factory Won by 169 runs,M138,251,3,20,82,5,11,2022,TRUE,169,Pie Factory
Two Bats or Not To Bat,Wandsworth Demons Cricket Club,SW London Sunday Division 4,17/07/2022,17:30,Wandsworth Common 2 (Sw18 3RT),Ferdous Zaman,Tim Maguire,Loss,Wandsworth Demons Cricket Club Won by 81 runs,M139,229,6,20,148,6,20,2022,TRUE,81,Wandsworth Demons Cricket Club
Two Bats or Not To Bat,Ryan Widebottom,SW London Sunday Division 4,24/07/2022,17:30,Wandsworth Common 2 (Sw18 3RT),SHAHZAD AHMAD MAHFOOZ,George Webber,Loss,Ryan Widebottom Won by 125 runs,M140,245,6,20,120,4,20,2022,TRUE,125,Ryan Widebottom
Two Bats or Not To Bat,One bat wonders,SW London Sunday Division 4,31/07/2022,13:30,Clapham Common Oval,Shabbir Ahmed,OCYG Willems,Loss,One bat wonders Won by 7 runs,M141,178,7,20,171,5,20,2022,TRUE,7,Two Bats or Not To Bat
Two Bats or Not To Bat,8 Wide Balls,SW London Sunday Division 4,14/08/2022,9:00,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Charlie Gibson,Loss,8 Wide Balls Won by 133 runs,M142,337,3,20,204,5,20,2022,TRUE,133,8 Wide Balls
Two Bats or Not To Bat,Warwick Knight Riders,SW London Sunday Division 4,14/05/2023,17:30,Wandsworth Common 1 (Sw18 3RT),SHAHZAD AHMAD MAHFOOZ,Will Stride,Loss,Warwick Knight Riders Won by 92 runs,M143,201,4,20,109,3,20,2023,TRUE,92,Warwick Knight Riders
Two Bats or Not To Bat,"Freddie, Stokesy, Cook",SW London Sunday Division 4,04/06/2023,17:30,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Swiss Frankel,Loss,"Freddie, Stokesy, Cook Won by 142 runs",M144,251,1,20,109,7,14.1,2023,TRUE,142,"Freddie, Stokesy, Cook"
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,11/06/2023,13:00,Wandsworth Park Oval,Jahidul Islam,George Gomes,Loss,Pie Factory Won by 41 runs,M145,238,5,20,197,4,20,2023,TRUE,41,Pie Factory
Two Bats or Not To Bat,Sunrisers Hyderabalham,SW London Sunday Division 4,18/06/2023,13:00,Wandsworth Common 2 (Sw18 3RT),Ferdous Zaman,Danny Mullins,Loss,Sunrisers Hyderabalham Won by 46 runs,M146,183,5,20,137,3,20,2023,TRUE,46,Sunrisers Hyderabalham
Two Bats or Not To Bat,Jonny beerstow,SW London Sunday Division 4,25/06/2023,13:00,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Tom Brunskill,Loss,Jonny beerstow Won by 126 runs,M147,242,3,20,116,6,20,2023,TRUE,126,Jonny beerstow
Two Bats or Not To Bat,Club Sandwich,SW London Sunday Division 4,25/06/2023,15:15,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Jack Maguire,Loss,Club Sandwich Won by 28 runs,M148,209,4,20,181,2,20,2023,TRUE,28,Club Sandwich
Two Bats or Not To Bat,On The Pull,SW London Sunday Division 4,01/07/2023,13:00,Wandsworth Common 1 (Sw18 3RT),,,No Result,No Result,M149,,,,,,,2023,FALSE,0,-
Two Bats or Not To Bat,Club Sandwich,SW London Sunday Division 4,02/07/2023,15:30,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Brendan Abadie,Loss,Club Sandwich Won by 57 runs,M150,227,1,20,170,3,20,2023,TRUE,57,Club Sandwich
Two Bats or Not To Bat,Not Drillers,SW London Sunday Division 4,09/07/2023,9:40,Clapham Common Oval,Shabbir Ahmed,Hashim Anjum,Loss,Not Drillers Won by 68 runs,M151,216,3,20,148,5,20,2023,TRUE,68,Not Drillers
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,16/07/2023,15:40,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Kit Shepperd,Loss,Pie Factory Won by 79 runs,M152,217,5,20,138,5,20,2023,TRUE,79,Pie Factory
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,23/07/2023,15:40,Barnes Oval - Brook (SW13 9SA),Ziaul Haque Shovo,Matt Burke,Loss,Pie Factory Won by 79 runs,M153,217,5,20,138,5,20,2023,TRUE,79,Pie Factory
Two Bats or Not To Bat,Nip Slippers,SW London Sunday Division 4,13/08/2023,17:30,Clapham Common Oval,Shabbir Ahmed,Marcus Kenmir,Loss,Nip Slippers Won by 201 runs,M154,289,3,20,88,8,15,2023,TRUE,201,Nip Slippers
Two Bats or Not To Bat,The Magic Carpets,Brockwell Park Sunday Autumn League,10/09/2023,10:00,Brockwell Park (SE24 9BJ),Amlan Mohanty,Qasim Hussain,Loss,The Magic Carpets Won by 94 runs,M155,198,6,16.2,104,4,20,2023,TRUE,94,The Magic Carpets
Two Bats or Not To Bat,Mpingwe CC,Brockwell Park Sunday Autumn League,17/09/2023,12:20,Brockwell Park (SE24 9BJ),SHAHZAD AHMAD MAHFOOZ,Kashif Rashid,Loss,Mpingwe CC Won by 211 runs,M156,256,1,18,45,7,10.2,2023,TRUE,211,Mpingwe CC
Two Bats or Not To Bat,Hard Hitters,Brockwell Park Sunday Autumn League,24/09/2023,12:20,Brockwell Park (SE24 9BJ),Imran Rasheed,Qasim Hussain,Loss,Hard Hitters Won by 140 runs,M157,279,6,20,139,6,20,2023,TRUE,140,Hard Hitters
Two Bats or Not To Bat,MCC Soundsystem,Brockwell Park Sunday Autumn League,01/10/2023,14:50,Brockwell Park (SE24 9BJ),SHAHZAD AHMAD MAHFOOZ,SIMRAN Singh,Loss,MCC Soundsystem Won by 124 runs,M158,242,4,20,118,4,20,2023,TRUE,124,MCC Soundsystem
Two Bats or Not To Bat,Oval Vincibles,Brockwell Park Sunday Autumn League,08/10/2023,14:50,Brockwell Park (SE24 9BJ),SHAHZAD AHMAD MAHFOOZ,Manoj Oswal,Loss,Oval Vincibles Won by 124 runs,M159,274,3,20,150,6,20,2023,TRUE,124,Oval Vincibles
Two Bats or Not To Bat,Club Sandwich,SW London Sunday Division 4,21/04/2024,14:00,Tooting Common Oval (SW17 8JU),Rafay Ahmed,Dan Walker,Loss,Club Sandwich Won by 28 runs,M160,221,4,20,193,4,20,2024,TRUE,28,Club Sandwich
Two Bats or Not To Bat,WA Whackers,SW London Sunday Division 4,12/05/2024,17:30,Wandsworth Common 1 (Sw18 3RT),Ariful islam Joy,Marfood Ahmed,Loss,WA Whackers Won by 5 wickets,M161,171,3,18.3,166,4,20,2024,FALSE,5,Two Bats or Not To Bat
Two Bats or Not To Bat,"Freddie, Stokesy, Cook",SW London Sunday Division 4,02/06/2024,13:00,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Angus Eglinton,Loss,"Freddie, Stokesy, Cook Won by 123 runs",M162,239,4,20,116,6,20,2024,TRUE,123,"Freddie, Stokesy, Cook"
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,09/06/2024,13:00,Wandsworth Common 1 (Sw18 3RT),ZR Saimon,Naufil Ahmad,Loss,Pie Factory Won by 59 runs,M163,207,2,20,148,7,15.1,2024,TRUE,59,Two Bats or Not To Bat
Two Bats or Not To Bat,Nip Slippers,SW London Sunday Division 4,16/06/2024,12:30,Barnes Oval - Brook (SW13 9SA),Kashish Midha,Tom Barlow,Loss,Nip Slippers Won by 90 runs,M164,217,4,20,127,3,20,2024,TRUE,90,Nip Slippers
Two Bats or Not To Bat,Club Sandwich,SW London Sunday Division 4,23/06/2024,15:15,Wandsworth Common 1 (Sw18 3RT),ZR Saimon,Harvey Comerford,Loss,Club Sandwich Won by 73 runs,M165,212,5,20,139,1,20,2024,TRUE,73,Club Sandwich
Two Bats or Not To Bat,Nose and toes,SW London Sunday Division 4,30/06/2024,15:15,Wandsworth Common 1 (Sw18 3RT),Ferdous Zaman,Oliver Gray,Loss,Nose and toes Won by 52 runs,M166,187,4,20,135,7,20,2024,TRUE,52,Nose and toes
Two Bats or Not To Bat,"Freddie, Stokesy, Cook",SW London Sunday Division 4,21/07/2024,18:00,Barnes Oval - Brook (SW13 9SA),SHAHZAD AHMAD MAHFOOZ,Henry Holdsworth,Loss,"Freddie, Stokesy, Cook Won by 113 runs",M167,230,3,20,117,8,17.1,2024,TRUE,113,"Freddie, Stokesy, Cook"
Two Bats or Not To Bat,Pie Factory,SW London Sunday Division 4,28/07/2024,10:00,Barnes Oval - Brook (SW13 9SA),Gourav Phatak,George Gomes,Loss,Pie Factory Won by 92 runs,M168,208,6,20,116,8,16.1,2024,TRUE,92,Pie Factory
Two Bats or Not To Bat,Nip Slippers,SW London Sunday Division 4,04/08/2024,17:30,Wandsworth Common 1 (Sw18 3RT),Emdad Chowdhury,Oliver Aucamp,Loss,Nip Slippers Won by 90 runs,M169,222,7,20,132,4,20,2024,TRUE,90,Nip Slippers
Two Bats or Not To Bat,Nose and toes,SW London Sunday Division 4,11/08/2024,14:45,Wandsworth Common 2 (Sw18 3RT),Emdad Chowdhury,Elliot Wingfield,Loss,Nose and toes Won by 61 runs,M170,180,6,20,119,3,20,2024,TRUE,61,Nose and toes
Two Bats or Not To Bat,Club Sandwich,SW London Sunday Division 4,27/04/2025,12:20,Battersea Park Pavilion Pitch,ZR Saimon,Henry Day,Loss,Club Sandwich Won by 75 runs,M171,243,4,20,168,4,20,2025,TRUE,75,Club Sandwich
Two Bats or Not To Bat,Hot Nut,SW London Sunday Division 4,11/05/2025,12:00,Wandsworth Common 2 (Sw18 3RT),ZR Saimon,CPW Chilvers,Loss,Hot Nut Won by 55 runs,M172,213,6,20,158,4,20,2025,TRUE,55,Two Bats or Not To Bat
Two Bats or Not To Bat,Ligma Bails,SW London Sunday Division 4,08/06/2025,13:30,Barnes Oval - Brook (SW13 9SA),SHAHZAD AHMAD MAHFOOZ,Ayush Newatia,Loss,Ligma Bails Won by 132 runs,M173,246,1,20,114,6,19,2025,TRUE,132,Two Bats or Not To Bat
Two Bats or Not To Bat,Beacon Saracens,SW London Sunday Division 4,22/06/2025,17:00,King Georges Park SW18 2GJ,ZR Saimon,John Ian Johnson,Loss,Beacon Saracens Won by 128 runs,M174,285,1,20,157,2,20,2025,TRUE,128,Beacon Saracens
Two Bats or Not To Bat,On The Pull,SW London Sunday Division 4,29/06/2025,12:00,King Georges Park SW18 2GJ,ZR Saimon,DM Sheridan,Win,Two Bats or Not To Bat Won by 6 wickets,M175,120,8,18.2,122,2,10.2,2025,TRUE,-2,Two Bats or Not To Bat
Two Bats or Not To Bat,Nip Slippers,SW London Sunday Division 4,06/07/2025,14:15,Tooting Common Oval (SW17 8JU),Babar Khan,James Blewett,Loss,Nip Slippers Won by 58 runs,M176,232,4,20,174,5,20,2025,TRUE,58,Nip Slippers
Two Bats or Not To Bat,Hot Nut,SW London Sunday Division 4,06/07/2025,17:00,Tooting Common Oval (SW17 8JU),Babar Khan,Charlie Stokes,Loss,Hot Nut Won by 117 runs,M177,263,6,20,146,6,18.1,2025,TRUE,117,Hot Nut
Two Bats or Not To Bat,Nip Slippers,SW London Sunday Division 4,13/07/2025,15:30,Clapham Common Oval,Shabbir Ahmed,George Marlar,Loss,Nip Slippers Won by 128 runs,M178,291,4,20,163,7,19.4,2025,TRUE,128,Nip Slippers
Two Bats or Not To Bat,WA Whackers,SW London Sunday Division 4,20/07/2025,17:00,Wandsworth Common 2 (Sw18 3RT),ZR Saimon,Josh Blower,Loss,WA Whackers Won by 62 runs,M179,204,4,20,142,5,20,2025,TRUE,62,WA Whackers
Two Bats or Not To Bat,Ligma Bails,SW London Sunday Division 4,03/08/2025,13:30,Clapham Common Oval,Shabbir Ahmed,Ben Rainbow,Loss,Ligma Bails Won by 113 runs,M180,265,6,20,152,7,20,2025,TRUE,113,Ligma Bails
Two Bats or Not To Bat,Beacon Saracens,SW London Sunday Division 4,10/08/2025,17:00,Tooting Common Oval (SW17 8JU),Babar Khan,Will Line,Loss,Beacon Saracens Won by 179 runs,M181,296,2,20,117,6,20,2025,TRUE,179,Beacon Saracens
